technology_id,technology_name,family,subfamily,absorber_material,device_architecture,TRL_level,commercialization_status,bandgap_eV,electron_affinity_eV,absorption_coefficient_cm1,absorption_coefficient_cm-1,electron_mobility_cm2Vs,hole_mobility_cm2Vs,carrier_lifetime_ns,defect_density_cm-3,dielectric_constant,absorber_thickness_um,base_efficiency_pct,efficiency_record_percent,efficiency_commercial_percent,voc_typical_V,jsc_mA_cm2,fill_factor_percent,temp_coefficient_pct_c,baseline_degradation_pct_year,module_cost_usd_w,bankability_score,maturity_score,heat_resilience_score,humidity_resilience_score,soiling_resilience_score,toxicity_level,scalability_score,fabrication_method,notes,ionization_energy_eV,conduction_band_min_eV,valence_band_max_eV,refractive_index,extinction_coefficient,optical_penetration_depth_um,urbach_energy_eV,work_function_eV,doping_concentration_cm3,doping_concentration_cm-3,series_resistance_ohm_cm2,shunt_resistance_ohm_cm2,thermal_conductivity_WmK,moisture_sensitivity_score,uv_stability_score,ion_migration_score,phase_stability_score,carbon_footprint_gCO2eq_kWh,recyclability_score,supply_chain_risk_score,source_quality,confidence_score,source_url,diffusion_length_um,mu_tau_product_cm2_V,voc_loss_V,recombination_factor_cm3_ns,absorption_fraction_pct
TECH_01,Mono PERC,Silicon,PERC,c-Si,p-type PERC,9,commercial,1.12,4.05,10000.0,10000.0,1350.0,480.0,1000000.0,10000000000.0,11.7,160.0,20.5,24.5,20.5,0.68,39.5,80.0,-0.35,0.55,0.2,88,95,2.5,3.0,2.5,low,9,screen_printed_p_type,Mature low-cost p-type silicon baseline.,5.17,-4.05,-5.17,3.45,0.01,1.0,0.055,4.6,1e+16,1e+16,0.05,10000.0,148.0,1,9,0,9,35,9,2,literature_range,0.75,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,1533.2550308216014,0.915,0.44000000000000006,10000.0,100.0
TECH_02,TOPCon,Silicon,TOPCon,n-Si + tunnel oxide/poly-Si,n-type passivated contact,9,commercial,1.12,4.05,10000.0,10000.0,1400.0,500.0,1200000.0,5000000000.0,11.7,150.0,22.5,26.7,22.5,0.72,41.0,82.5,-0.3,0.4,0.26,88,92,3.5,3.5,2.5,low,9,tunnel_oxide_poly_si,Mainstream high-efficiency n-type technology.,5.17,-4.05,-5.17,3.45,0.01,1.0,0.055,4.65,1e+16,1e+16,0.04,12000.0,148.0,1,9,0,9,35,9,2,literature_range,0.75,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,1711.418715497304,1.1400000000000001,0.40000000000000013,4166.666666666667,100.0
TECH_03,HJT,Silicon,HJT,c-Si + a-Si:H,silicon heterojunction,9,commercial,1.12,4.05,10000.0,10000.0,1450.0,520.0,1500000.0,4000000000.0,11.7,150.0,23.5,26.8,23.5,0.74,41.0,83.5,-0.25,0.35,0.34,76,82,4.5,3.5,2.5,low,8,low_temp_a_si_passivation,Premium silicon technology with strong temperature coefficient.,5.17,-4.05,-5.17,3.5,0.015,1.0,0.05,4.7,5000000000000000.0,5000000000000000.0,0.035,15000.0,148.0,1,9,0,9,35,9,3,literature_range,0.75,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,1948.3527825002536,1.4775,0.3800000000000001,2666.6666666666665,100.0
TECH_04,IBC Silicon,Silicon,IBC,c-Si,interdigitated back contact,9,commercial,1.12,4.05,10000.0,10000.0,1450.0,520.0,1400000.0,4000000000.0,11.7,150.0,23.0,27.0,23.0,0.73,41.5,83.0,-0.29,0.4,0.4,82,90,3.5,3.0,2.5,low,7,back_contact_lithography,High efficiency but complex/costly.,5.17,-4.05,-5.17,3.45,0.01,1.0,0.055,4.6,1e+16,1e+16,0.035,15000.0,148.0,1,9,0,9,35,9,4,literature_range,0.75,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,1882.2876137131775,1.379,0.3900000000000001,2857.1428571428573,100.0
TECH_05,Polycrystalline Silicon,Silicon,mc-Si,mc-Si,polycrystalline p-n,9,commercial,1.12,4.05,8000.0,8000.0,600.0,250.0,200000.0,200000000000.0,11.7,180.0,17.5,20.4,17.5,0.63,36.0,76.0,-0.39,0.65,0.16,75,95,2.0,2.5,2.0,low,8,cast_wafer_screen_printed,Older low-cost silicon.,5.17,-4.05,-5.17,3.45,0.02,1.25,0.08,4.6,1e+16,1e+16,0.08,8000.0,148.0,1,8,0,8,35,8,2,literature_range,0.75,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,467.31886600644583,0.085,0.4900000000000001,1000000.0,100.0
TECH_06,CdTe Thin Film,Thin film,CdTe,CdTe,CdS/CdTe heterojunction,9,commercial,1.45,4.0,100000.0,100000.0,320.0,40.0,10000.0,100000000000000.0,10.2,3.0,18.5,22.1,18.5,0.84,27.0,76.0,-0.28,0.45,0.22,78,90,4.5,4.0,4.5,medium,8,close_space_sublimation,Strong hot-climate thin film.,5.45,-4.0,-5.45,2.25,0.5,0.1,0.04,5.0,1000000000000000.0,1000000000000000.0,0.15,2000.0,6.2,2,7,0,8,25,7,4,literature_range,0.75,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,68.00488395488621,0.0018000000000000002,0.61,10000000000.0,99.99999999999064
TECH_07,CIGS Thin Film,Thin film,CIGS,"Cu(In,Ga)Se2",CIGS heterojunction,9,commercial,1.15,4.5,100000.0,100000.0,100.0,25.0,50000.0,50000000000000.0,13.6,2.5,17.0,23.6,17.0,0.72,34.0,73.0,-0.32,0.55,0.3,70,85,3.5,3.0,3.5,medium,7,co_evaporation_sputtering,Flexible/thin-film option.,5.65,-4.5,-5.65,2.4,0.4,0.1,0.03,5.2,500000000000000.0,500000000000000.0,0.12,2500.0,8.0,2,7,0,7,30,6,5,literature_range,0.75,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,89.60430221369988,0.003125,0.42999999999999994,1000000000.0,99.99999999861122
TECH_08,Amorphous Silicon,Thin film,a-Si:H,a-Si:H,p-i-n thin film,8,commercial_niche,1.75,3.8,50000.0,50000.0,1.0,0.01,1000.0,1e+16,11.9,0.5,8.0,10.2,7.0,0.85,14.0,67.0,-0.2,1.2,0.18,58,75,3.0,2.0,2.5,low,6,pecvd,Low-light/flexible niche.,5.55,-3.8,-5.55,4.0,0.3,0.2,0.1,4.5,100000000000000.0,100000000000000.0,0.25,500.0,1.5,3,6,0,5,50,6,2,literature_range,0.75,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,1.1390677089589436,5.05e-07,0.9,10000000000000.0,91.79150013761011
TECH_09,Microcrystalline Silicon,Thin film,µc-Si:H,µc-Si:H,p-i-n thin film,8,commercial_niche,1.12,4.05,20000.0,20000.0,10.0,1.0,10000.0,1000000000000000.0,11.7,2.0,10.0,12.0,8.0,0.58,22.0,65.0,-0.28,1.0,0.2,55,70,3.0,2.5,2.5,low,6,pecvd,Thin-film silicon variant.,5.17,-4.05,-5.17,3.5,0.1,0.5,0.08,4.6,1000000000000000.0,1000000000000000.0,0.25,800.0,10.0,2,7,0,6,45,7,2,literature_range,0.75,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,11.88735400177817,5.5e-05,0.5400000000000001,100000000000.0,98.16843611112658
TECH_10,Perovskite Single Junction,Perovskite,3D mixed cation,"FA/Cs Pb(I,Br)3",planar perovskite,6,pilot_research,1.55,3.9,150000.0,150000.0,20.0,15.0,1000.0,1000000000000000.0,25.0,0.6,18.0,26.7,12.0,1.12,24.0,75.0,-0.3,2.5,0.25,35,45,3.0,1.5,2.0,high,7,solution_or_vapor,High potential; stability risk.,5.45,-3.9,-5.45,2.3,0.5,0.06666666666666667,0.08,4.8,5e+16,5e+16,0.18,1000.0,0.5,5,4,5,4,45,2,7,literature_range,0.75,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,6.705371985292296,1.7500000000000002e-05,0.42999999999999994,1000000000000.0,99.98765901959133
