technology_id,module_cost_USD_W,bankability_score,maturity_score,carbon_footprint_gCO2eq_kWh,recyclability_score,supply_chain_risk_score,toxicity_level,scalability_score,installation_cost_USD_W,OPEX_USD_kW_year,LCOE_proxy_USD_kWh
TECH_01,0.2,88,95,35,9,2,low,9,0.71,12,0.0371
TECH_02,0.26,88,92,35,9,2,low,9,0.758,12,0.0416
TECH_03,0.34,76,82,35,9,3,low,8,0.822,12,0.0479
TECH_04,0.4,82,90,35,9,4,low,7,0.87,12,0.0528
TECH_05,0.16,75,95,35,8,2,low,8,0.678,12,0.0341
TECH_06,0.22,78,90,25,7,4,medium,8,0.726,12,0.0385
TECH_07,0.3,70,85,30,6,5,medium,7,0.79,12,0.0451
TECH_08,0.18,58,75,50,6,2,low,6,0.694,12,0.0368
TECH_09,0.2,55,70,45,7,2,low,6,0.71,12,0.038
TECH_10,0.25,35,45,45,2,7,high,7,0.75,12,0.045
TECH_11,0.45,45,55,45,5,7,high,6,0.91,12,0.0584
TECH_12,0.35,25,35,50,2,8,high,5,0.83,12,0.055
TECH_13,0.25,25,35,20,3,2,low,5,0.75,12,0.05
TECH_14,0.35,20,30,25,3,2,low,4,0.83,12,0.058
TECH_15,0.2,30,40,35,4,4,medium,4,0.71,12,0.042
TECH_16,0.3,20,30,60,3,8,high,4,0.79,12,0.052
TECH_17,0.35,18,25,60,2,8,high,4,0.83,12,0.057
TECH_18,2.0,65,80,80,6,6,medium,3,2.15,12,0.1804
TECH_19,2.5,55,70,85,5,7,medium,2,2.55,12,0.2204
TECH_20,3.5,60,70,90,5,7,medium,2,3.35,12,0.3003
TECH_21,0.2,25,35,25,7,2,low,6,0.71,12,0.039
TECH_22,0.25,18,25,35,5,4,medium,5,0.75,12,0.044
TECH_23,0.15,15,20,20,8,2,low,5,0.67,12,0.038
TECH_24,0.2,10,15,30,4,4,medium,3,0.71,12,0.042
TECH_25,0.3,30,40,45,2,7,high,5,0.79,12,0.048
TECH_26,0.24,78,90,25,7,4,medium,8,0.742,12,0.0401
TECH_27,1.5,35,45,80,5,7,medium,2,1.75,12,0.1406
TECH_28,0.28,86,92,40,8,3,low,9,0.774,12,0.0432
TECH_29,0.36,74,82,40,8,4,low,8,0.838,12,0.0495
TECH_30,0.55,45,60,35,6,5,medium,5,0.99,12,0.0654
