parameter,unit,layer,source_evidence,decision_use,purpose,validation_guard,fallback_policy,bias_risk,v9_status
latitude,deg,project/site,NASA/user,YES,Defines solar geometry and resource point,-90..90,No fallback,low,kept
longitude,deg,project/site,NASA/user,YES,Defines solar geometry and resource point,-180..180,No fallback,low,kept
reference_year,year,project/site,user,YES,Full-year hourly comparison period,full-year coverage required,No short-period annualization,scenario selection,kept/full-year gate
system_size_mw,MWp,project/site,user,NO_RANK,Scales specific DC energy to project DC energy,>0,,low,kept
project_segment,category,project/site,supplier/user,YES_FILTER,Prevents incompatible product comparisons,utility/commercial/residential/research,all only when evidence supports broad applicability,apples-to-oranges,added V9 filter
tilt_deg,deg,geometry,user,YES_COMMON,Plane orientation shared by candidates,0..60 UI,Explicit user value/default,geometry bias,kept
azimuth_deg,deg,geometry,derived/user,YES_COMMON,Equator-facing azimuth in PoC,0..360,180 N hemisphere / 0 S hemisphere,geometry bias,kept
albedo,ratio,geometry,project assumption,YES_COMMON,Ground-reflected POA component,0..1; current default 0.20,common value,resource bias,kept; expose in production later
ALLSKY_SFC_SW_DWN / GHI,W/m2 hourly-equivalent,weather,NASA POWER,YES,Primary horizontal irradiance,>=0; full-year coverage,fail on empty,resource uncertainty,kept
ALLSKY_SFC_SW_DNI / DNI,W/m2,weather,NASA POWER,YES,Beam transposition,>=0,Erbs from measured/modelled GHI if absent,decomposition uncertainty,kept + source flag
ALLSKY_SFC_SW_DIFF / DHI,W/m2,weather,NASA POWER,YES,Diffuse transposition,>=0,Erbs from GHI if absent,diffuse-climate bias,kept + source flag
T2M,degC,weather,NASA POWER,YES,Thermal operating model,numeric/coverage,interpolate short gaps,thermal uncertainty,kept
WS10M,m/s,weather,NASA POWER,YES,Cooling in Faiman/SAPM,>=0,"interpolate, clip 0.1 minimum for model",thermal uncertainty,kept
RH2M,%,weather,NASA POWER,NO_PRIMARY_ENERGY,Stress exposure + precipitable water proxy,0..100,interpolate/clip,spectral & reliability proxy,kept diagnostic
PRECTOTCORR,mm/hour,weather,NASA POWER,NO_PRIMARY_RANK,Exposure/soiling future input,>=0,0 if missing in current exposure layer,soiling/reliability,kept diagnostic; no tech penalty
PS,kPa -> Pa,weather,NASA POWER,SPECTRAL_SENSITIVITY,Absolute airmass,20..120 kPa typical guard; hPa/Pa legacy branches,standard atmosphere only if missing,unit conversion,fixed V9 unit guard
precipitable_water_cm,cm,derived weather,pvlib Gueymard94,SPECTRAL_SENSITIVITY,First Solar technology-class spectral proxy,finite daylight domain,No primary decision use,proxy/model-domain,sensitivity only
airmass_absolute,unitless,derived weather,pvlib,SPECTRAL_SENSITIVITY,Technology-class spectral proxy,finite daylight domain,No primary decision use,proxy/model-domain,sensitivity only
POA transposition model,model,irradiance model,pvlib,YES_COMMON,Converts GHI/DNI/DHI to plane-of-array,Perez-Driesse,No isotropic production fallback,diffuse-climate model bias,changed V9 from isotropic
poa_w_m2,W/m2,irradiance model,pvlib,YES,Electrical/thermal irradiance basis before optical correction,>=0,,resource/model,kept
AOI,deg,optical,pvlib geometry,YES_COMMON,Direct incidence geometry,0..180,,low,kept
IAM direct/diffuse,ratio,optical,pvlib physical + Marion,YES_COMMON,Common front-glass optical loss,nonnegative,common glass proxy,module-specific optical differences omitted,common unbiased fallback
module-specific IAM curve,ratio vs AOI,optical evidence,IEC 61853-2/lab,NOT_YET,Future module-specific optical correction,must be sourced/measured,common IAM remains,missing differentiation,schema/documented next step
pmax_w,W,module datasheet,manufacturer/lab,YES,STC normalization and consistency check,>0; Vmp*Imp within 2%,fail closed,datasheet accuracy,validated
vmp_v,V,module datasheet,manufacturer/lab,YES_CSI_FALLBACK,CEC fitting,>0 and <Voc; P consistency,fail closed,datasheet fit,validated
imp_a,A,module datasheet,manufacturer/lab,YES_CSI_FALLBACK,CEC fitting,>0 and <Isc; P consistency,fail closed,datasheet fit,validated
voc_v,V,module datasheet,manufacturer/lab,YES_CSI_FALLBACK,CEC fitting,>Vmp,fail closed,datasheet fit,validated
isc_a,A,module datasheet,manufacturer/lab,YES_CSI_FALLBACK,CEC fitting,>Imp,fail closed,datasheet fit,validated
alpha_isc_pct_c,%/C,module datasheet,manufacturer/lab,YES_CSI_FALLBACK,Converted to A/C for CEC fit,numeric,fail closed during fit,coefficient accuracy,validated units
beta_voc_pct_c,%/C,module datasheet,manufacturer/lab,YES_CSI_FALLBACK,Converted to V/C for CEC fit,normally negative,fail closed if positive,coefficient accuracy,validated units
gamma_pmax_pct_c,%/C,module datasheet,manufacturer/lab,YES_CSI_FALLBACK,CEC fit / thermal response,normally negative,fail closed if positive,dominant heuristic risk if isolated,used only inside physical model
cells_in_series,count,module datasheet/architecture,manufacturer,YES_CSI_FALLBACK,CEC fit electrical series count,positive integer,fail closed,half-cut architecture ambiguity,validated + basis column
