module_id,parameter_group,source_type,source_url,status,notes,evidence_tier,last_verified
MOD_PERC_LONGI_LR5_72HPH_550M,STC electrical + temperature coefficients + mechanical/thermal + warranty,manufacturer datasheet,https://static.longi.com/L_Gi_LE_PM_T_PMD_059_F119_LR_5_72_HPH_540_560_M_35_35_and_15_G2_V15_CHT_9ec1618dcc.pdf,sourced,550 W STC row; datasheet states first-year degradation <2% and years 2-25 0.55%/yr. Quote intentionally blank.,C_product_manufacturer,2026-09-11
MOD_TOPCON_JINKO_JKM575N_72HL4_V,STC electrical + temperature coefficients + mechanical/thermal + warranty,manufacturer datasheet,https://www.jinkosolar.com/uploads/JKM555-575N-72HL4-%28V%29-F1-EN%20%28IEC%202016%29.pdf,sourced,575 W STC row. Datasheet/warranty family states 1% first-year and 0.40%/yr thereafter. Quote intentionally blank.,C_product_manufacturer,2026-09-11
MOD_HJT_REC_ALPHA_PURE_RX_470,STC electrical + temperature coefficients + mechanical/thermal + warranty,manufacturer datasheet,https://www.recgroup.com/sites/default/files/2025-11/DS_Alpha_Pure-RX_IEC_EN_AUCEC_101125.pdf,sourced,470 W STC row; 98% Year 1 and 0.25% annual degradation warranty. Quote intentionally blank.,C_product_manufacturer,2026-09-11
MOD_CDTE_FIRST_SOLAR_SERIES7_TR1_530,STC electrical + temperature coefficients + mechanical/thermal + warranty,manufacturer datasheet,https://www.firstsolar.com/-/media/First-Solar/Technical-Documents/Series-7/Series-7-TR1-Datasheet.ashx,sourced,530 W STC row; datasheet states 0.30%/yr warranted degradation and >89% after 30 years. Quote intentionally blank.,C_product_manufacturer,2026-09-11
MOD_HPBC_LONGI_LR7_72HVH_670M,STC electrical + temperature coefficients + mechanical/BOM-visible + warranty,manufacturer datasheet,https://static.longi.com/LR_7_72_HVH_640_670_M_30_30_and_15_Scientist_BGV_02_20250313_EN_1e80b0045b.pdf,sourced,670 W STC row; 24.8% efficiency; -0.260%/C Pmax coefficient; 45+/-2 C NOCT; <1% first-year and 0.35%/yr years 2-30 warranty. Quote intentionally blank.,C_product_manufacturer,2026-09-11
MOD_IBC_MAXEON_SPR_MAX7_445_PT,STC electrical + temperature coefficients + mechanical/BOM-visible + warranty,manufacturer datasheet,https://sunpower.maxeon.com/int/sites/default/files/2024-03/sp_max7_112c_PT_435-445_res_dc_40years_warranty_ds_en_a4_551184A.v4.pdf,sourced,"445 W STC row; 24.1% efficiency; -0.27%/C Pmax coefficient; 98% year-1 minimum; 0.25% max annual degradation. Official product sheet does not state NOCT, so no NOCT is invented.",C_product_manufacturer,2026-09-11
MOD_TOPCON_CANADIAN_CS62_66TB_620H,STC electrical + temperature coefficients + mechanical/BOM-visible + warranty,manufacturer datasheet,https://www.canadiansolar.com/wp-content/uploads/sites/3/2026/04/CS-Datasheet-TOPBiHiKu6_CS6.2-66TB-H_v1.1_F68_L1B_TX.pdf,sourced,620 W STC row; 23.0% efficiency; -0.29%/C Pmax; 41+/-3 C NMOT; 80% nominal power bifaciality. Rear gain is not added without rear irradiance geometry.,C_product_manufacturer,2026-09-11
MOD_HJT_CANADIAN_CS62_66HB_635H,STC electrical + temperature coefficients + mechanical/BOM-visible + warranty,manufacturer datasheet,https://www.canadiansolar.com/wp-content/uploads/sites/3/2026/05/CS-Datasheet-Low-Carbon_HiHero-HJT_CS6.2-66HB-H_v1.4C1_F68_L1_TX90.pdf,sourced,635 W STC row; 23.5% efficiency; -0.255%/C Pmax; 41+/-3 C NMOT; 85% datasheet bifaciality. Rear gain is not added without rear irradiance geometry.,C_product_manufacturer,2026-09-11
MOD_TOPCON_JASOLAR_JAM72D42_640_LB,STC electrical + temperature coefficients + mechanical/BOM-visible + warranty,manufacturer datasheet,https://www.jasolar.com/uploadfile/fujian/2024/0617/d915634529ae62e.pdf,sourced,640 W STC row; 22.9% efficiency; 45+/-2 C NOCT; 80%+/-10% bifaciality; 1% first-year and 0.4% annual warranty degradation. Rear gain is not assumed.,C_product_manufacturer,2026-09-11
MOD_TOPCON_TRINA_TSM_NEG21C20_700,STC electrical + temperature coefficients + mechanical/BOM-visible + warranty,manufacturer datasheet,https://www.trinasolar.com/sites/default/files/Datasheet_210_NEG21C.20.pdf,sourced,"700 W STC row from official Vertex N series datasheet; -0.29%/C Pmax; 43+/-2 C NOCT. Current product family evolves by market, so exact procurement revision must be reverified at quote time.",C_product_manufacturer,2026-09-11
