field,group,decision_use,policy_note,use,policy
module_id,identity,required_context,Unknown values remain unknown; no technology-family stereotype is used to fill missing product evidence.,,
technology_id,identity,required_context,Unknown values remain unknown; no technology-family stereotype is used to fill missing product evidence.,,
manufacturer,identity,required_context,Unknown values remain unknown; no technology-family stereotype is used to fill missing product evidence.,,
model,identity,required_context,Unknown values remain unknown; no technology-family stereotype is used to fill missing product evidence.,,
technology_label,identity,required_context,Unknown values remain unknown; no technology-family stereotype is used to fill missing product evidence.,,
cec_celltype,electrical,decision_input_when_evidence_route_allows,Unknown values remain unknown; no technology-family stereotype is used to fill missing product evidence.,,
pmax_w,electrical,decision_input_when_evidence_route_allows,Unknown values remain unknown; no technology-family stereotype is used to fill missing product evidence.,,
vmp_v,electrical,decision_input_when_evidence_route_allows,Unknown values remain unknown; no technology-family stereotype is used to fill missing product evidence.,,
imp_a,electrical,decision_input_when_evidence_route_allows,Unknown values remain unknown; no technology-family stereotype is used to fill missing product evidence.,,
voc_v,electrical,decision_input_when_evidence_route_allows,Unknown values remain unknown; no technology-family stereotype is used to fill missing product evidence.,,
isc_a,electrical,decision_input_when_evidence_route_allows,Unknown values remain unknown; no technology-family stereotype is used to fill missing product evidence.,,
alpha_isc_pct_c,electrical,decision_input_when_evidence_route_allows,Unknown values remain unknown; no technology-family stereotype is used to fill missing product evidence.,,
beta_voc_pct_c,electrical,decision_input_when_evidence_route_allows,Unknown values remain unknown; no technology-family stereotype is used to fill missing product evidence.,,
gamma_pmax_pct_c,electrical,decision_input_when_evidence_route_allows,Unknown values remain unknown; no technology-family stereotype is used to fill missing product evidence.,,
cells_in_series,electrical,decision_input_when_evidence_route_allows,Unknown values remain unknown; no technology-family stereotype is used to fill missing product evidence.,,
cells_in_series_basis,electrical,decision_input_when_evidence_route_allows,Unknown values remain unknown; no technology-family stereotype is used to fill missing product evidence.,,
module_area_m2,geometry,decision_input,Unknown values remain unknown; no technology-family stereotype is used to fill missing product evidence.,,
module_efficiency_pct,geometry,decision_input,Unknown values remain unknown; no technology-family stereotype is used to fill missing product evidence.,,
noct_c,thermal,decision_input_or_evidence_fallback,Unknown values remain unknown; no technology-family stereotype is used to fill missing product evidence.,,
thermal_construction,thermal,decision_input_or_evidence_fallback,Unknown values remain unknown; no technology-family stereotype is used to fill missing product evidence.,,
first_year_retention_pct,lifetime_BOM,sensitivity_or_reliability_evidence,Unknown values remain unknown; no technology-family stereotype is used to fill missing product evidence.,,
annual_warranty_degradation_pct_year,lifetime_BOM,sensitivity_or_reliability_evidence,Unknown values remain unknown; no technology-family stereotype is used to fill missing product evidence.,,
warranty_years,lifetime_BOM,sensitivity_or_reliability_evidence,Unknown values remain unknown; no technology-family stereotype is used to fill missing product evidence.,,
quote_usd_w,commercial,decision_input_when_supplied,Unknown values remain unknown; no technology-family stereotype is used to fill missing product evidence.,,
source_url,provenance,audit_and_uncertainty,Unknown values remain unknown; no technology-family stereotype is used to fill missing product evidence.,,
evidence_status,provenance,audit_and_uncertainty,Unknown values remain unknown; no technology-family stereotype is used to fill missing product evidence.,,
source_note,provenance,audit_and_uncertainty,Unknown values remain unknown; no technology-family stereotype is used to fill missing product evidence.,,
iec61853_matrix_file,electrical,decision_input_when_evidence_route_allows,Unknown values remain unknown; no technology-family stereotype is used to fill missing product evidence.,,
spectral_evidence_level,optics,sensitivity_unless_candidate_specific_validated,Unknown values remain unknown; no technology-family stereotype is used to fill missing product evidence.,,
