module_id,manufacturer,model,technology_family,technology_subtype,cell_architecture,module_architecture,monofacial_or_bifacial,commercial_status,application,market_regions,datasheet_url,datasheet_revision,glass_structure,warranty_years,warranted_degradation_text,source_note,pmax_w,vmp_v,imp_a,voc_v,isc_a,efficiency_pct,gamma_pmp_pct_per_c,alpha_isc_pct_per_c,beta_voc_pct_per_c,module_area_m2,bifaciality_pct,source_checked_at,decision_eligibility,evidence_level,iec61853_available,iam_available,spectral_response_available,thermal_data_available,independent_field_data_available
MOD_PERC_LONGI_LR5_72HPH_550M,LONGi,LR5-72HPH-550M,PERC,Mono PERC,Mono PERC,single_glass,MONOFACIAL,UNKNOWN,ROOFTOP|UTILITY,,https://static.longi.com/L_Gi_LE_PM_T_PMD_059_F119_LR_5_72_HPH_540_560_M_35_35_and_15_G2_V15_CHT_9ec1618dcc.pdf,,single_glass,25.0,550 W STC row; datasheet states first-year degradation <2% and years 2-25 0.55%/yr. Quote intentionally blank.,550 W STC row; datasheet states first-year degradation <2% and years 2-25 0.55%/yr. Quote intentionally blank.,550.0,41.95,13.12,49.8,13.98,21.3,-0.34,0.05,-0.265,2.583252,,2026-09-15,SCREENING_ONLY,C_MANUFACTURER_DATASHEET,,,,,
MOD_TOPCON_JINKO_JKM575N_72HL4_V,JinkoSolar,JKM575N-72HL4-V,TOPCon,TOPCon,TOPCon,single_glass,MONOFACIAL,UNKNOWN,ROOFTOP|UTILITY,,https://www.jinkosolar.com/uploads/JKM555-575N-72HL4-%28V%29-F1-EN%20%28IEC%202016%29.pdf,,single_glass,30.0,575 W STC row. Datasheet/warranty family states 1% first-year and 0.40%/yr thereafter. Quote intentionally blank.,575 W STC row. Datasheet/warranty family states 1% first-year and 0.40%/yr thereafter. Quote intentionally blank.,575.0,42.22,13.62,50.88,14.39,22.3,-0.3,0.046,-0.25,2.583252,,2026-09-15,SCREENING_ONLY,C_MANUFACTURER_DATASHEET,,,,,
MOD_HJT_REC_ALPHA_PURE_RX_470,REC,Alpha Pure-RX 470,HJT / SHJ,HJT,HJT,single_glass,MONOFACIAL,COMMERCIAL,ROOFTOP,,https://www.recgroup.com/sites/default/files/2025-11/DS_Alpha_Pure-RX_IEC_EN_AUCEC_101125.pdf,IEC EN AUCEC 101125,single_glass,25.0,470 W STC row; 98% Year 1 and 0.25% annual degradation warranty. Quote intentionally blank.,470 W STC row; 98% Year 1 and 0.25% annual degradation warranty. Quote intentionally blank.,470.0,55.4,8.49,65.7,8.95,22.6,-0.24,0.04,-0.24,2.08,,2026-09-15,SCREENING_ONLY,C_MANUFACTURER_DATASHEET,,,,,
MOD_CDTE_FIRST_SOLAR_SERIES7_TR1_530,First Solar,FS-7530A-TR1,CdTe,CdTe Thin Film,CdTe Thin Film,glass-glass,MONOFACIAL,COMMERCIAL,UTILITY,US,https://www.firstsolar.com/-/media/First-Solar/Technical-Documents/Series-7/Series-7-TR1-High-Bin-Datasheet.pdf,MPD-00903-07-US JUL 2024,glass-glass,30.0,530 W STC row; datasheet states 0.30%/yr warranted degradation and >89% after 30 years. Quote intentionally blank.,530 W STC row; datasheet states 0.30%/yr warranted degradation and >89% after 30 years. Quote intentionally blank.,530.0,186.9,2.84,226.7,3.05,19.0,-0.32,0.04,-0.28,2.8,,2026-09-15,SCREENING_ONLY,C_MANUFACTURER_DATASHEET,,,,,
MOD_HPBC_LONGI_LR7_72HVH_670M,LONGi,LR7-72HVH-670M,HPBC,HPBC 2.0 / Back Contact,HPBC 2.0 / Back Contact,single_glass,MONOFACIAL,COMMERCIAL,ROOFTOP|UTILITY,,https://static.longi.com/LR_7_72_HVH_640_670_M_30_30_and_15_Scientist_BGV_02_20250313_EN_1e80b0045b.pdf,Scientist BGV02 20250313 EN,single_glass,30.0,670 W STC row; 24.8% efficiency; -0.260%/C Pmax coefficient; 45+/-2 C NOCT; <1% first-year and 0.35%/yr years 2-30 warranty. Quote intentionally blank.,670 W STC row; 24.8% efficiency; -0.260%/C Pmax coefficient; 45+/-2 C NOCT; <1% first-year and 0.35%/yr years 2-30 warranty. Quote intentionally blank.,670.0,44.96,14.91,54.3,15.6,24.8,-0.26,0.05,-0.2,2.701188,,2026-09-15,SCREENING_ONLY,C_MANUFACTURER_DATASHEET,,,,,
MOD_IBC_MAXEON_SPR_MAX7_445_PT,Maxeon,SPR-MAX7-445-PT,IBC,IBC / Back Contact,IBC / Back Contact,single_glass,MONOFACIAL,UNKNOWN,ROOFTOP,,https://sunpower.maxeon.com/int/sites/default/files/2024-03/sp_max7_112c_PT_435-445_res_dc_40years_warranty_ds_en_a4_551184A.v4.pdf,2024-01,single_glass,40.0,"445 W STC row; 24.1% efficiency; -0.27%/C Pmax coefficient; 98% year-1 minimum; 0.25% max annual degradation. Official product sheet does not state NOCT, so no NOCT is invented.","445 W STC row; 24.1% efficiency; -0.27%/C Pmax coefficient; 98% year-1 minimum; 0.25% max annual degradation. Official product sheet does not state NOCT, so no NOCT is invented.",445.0,71.4,6.23,83.0,6.6,24.1,-0.27,0.058,-0.236,1.849545,,2026-09-15,SCREENING_ONLY,C_MANUFACTURER_DATASHEET,,,,,
MOD_TOPCON_CANADIAN_CS62_66TB_620H,Canadian Solar,CS6.2-66TB-620H,TOPCon Bifacial,TOPCon Bifacial,TOPCon Bifacial,glass-glass,BIFACIAL,COMMERCIAL,ROOFTOP|UTILITY,US,https://www.canadiansolar.com/wp-content/uploads/sites/3/2026/04/CS-Datasheet-TOPBiHiKu6_CS6.2-66TB-H_v1.1_F68_L1B_TX.pdf,v1.1 F68 L1B TX,glass-glass,30.0,620 W STC row; 23.0% efficiency; -0.29%/C Pmax; 41+/-3 C NMOT; 80% nominal power bifaciality. Rear gain is not added without rear irradiance geometry.,620 W STC row; 23.0% efficiency; -0.29%/C Pmax; 41+/-3 C NMOT; 80% nominal power bifaciality. Rear gain is not added without rear irradiance geometry.,620.0,41.2,15.06,48.4,16.08,23.0,-0.29,0.045,-0.25,2.701188,80.0,2026-09-15,SCREENING_ONLY,C_MANUFACTURER_DATASHEET,,,,,
MOD_HJT_CANADIAN_CS62_66HB_635H,Canadian Solar,CS6.2-66HB-635H,HJT Bifacial,HJT Bifacial,HJT Bifacial,glass-glass,BIFACIAL,COMMERCIAL,ROOFTOP|UTILITY,US,https://www.canadiansolar.com/wp-content/uploads/sites/3/2026/05/CS-Datasheet-Low-Carbon_HiHero-HJT_CS6.2-66HB-H_v1.4C1_F68_L1_TX90.pdf,v1.4C1 F68 L1 TX90,glass-glass,30.0,635 W STC row; 23.5% efficiency; -0.255%/C Pmax; 41+/-3 C NMOT; 85% datasheet bifaciality. Rear gain is not added without rear irradiance geometry.,635 W STC row; 23.5% efficiency; -0.255%/C Pmax; 41+/-3 C NMOT; 85% datasheet bifaciality. Rear gain is not added without rear irradiance geometry.,635.0,42.7,14.88,50.3,15.92,23.5,-0.255,0.044,-0.23,2.701188,85.0,2026-09-15,SCREENING_ONLY,C_MANUFACTURER_DATASHEET,,,,,
MOD_TOPCON_JASOLAR_JAM72D42_640_LB,JA Solar,JAM72D42-640/LB,TOPCon Bifacial,TOPCon Bifacial,TOPCon Bifacial,glass-glass,BIFACIAL,UNKNOWN,ROOFTOP|UTILITY,,https://www.jasolar.com/uploadfile/fujian/2024/0617/d915634529ae62e.pdf,2024-06-12,glass-glass,30.0,640 W STC row; 22.9% efficiency; 45+/-2 C NOCT; 80%+/-10% bifaciality; 1% first-year and 0.4% annual warranty degradation. Rear gain is not assumed.,640 W STC row; 22.9% efficiency; 45+/-2 C NOCT; 80%+/-10% bifaciality; 1% first-year and 0.4% annual warranty degradation. Rear gain is not assumed.,640.0,44.29,14.45,52.87,15.31,22.9,-0.29,0.045,-0.25,2.79531,80.0,2026-09-15,SCREENING_ONLY,C_MANUFACTURER_DATASHEET,,,,,
MOD_TOPCON_TRINA_TSM_NEG21C20_700,Trina Solar,TSM-NEG21C.20-700,TOPCon Bifacial,TOPCon Bifacial,TOPCon Bifacial,glass-glass,BIFACIAL,UNKNOWN,ROOFTOP|UTILITY,,https://www.trinasolar.com/sites/default/files/Datasheet_210_NEG21C.20.pdf,2024,glass-glass,30.0,"700 W STC row from official Vertex N series datasheet; -0.29%/C Pmax; 43+/-2 C NOCT. Current product family evolves by market, so exact procurement revision must be reverified at quote time.","700 W STC row from official Vertex N series datasheet; -0.29%/C Pmax; 43+/-2 C NOCT. Current product family evolves by market, so exact procurement revision must be reverified at quote time.",700.0,40.5,17.29,48.6,18.32,22.5,-0.29,0.04,-0.24,3.106352,80.0,2026-09-15,SCREENING_ONLY,C_MANUFACTURER_DATASHEET,,,,,
MOD_ABC_AIKO_A530_MCE60DB,AIKO,AIKO-A530-MCE60Db,ABC,N-type ABC,All back contact,Bifacial dual glass,BIFACIAL,COMMERCIAL,ROOFTOP,AU|NZ,https://aikosolar.com/wp-content/uploads/2026/03/Neostar-3SPlus60_193-AIKO-A-MCE60Db_530-550W-1954x1134x30mm_202602_V4.1_ANZ.pdf,202602 V4.1 ANZ,2.0 mm + 2.0 mm glass,30,"At most 1% year 1; at most 0.35% annually thereafter. Warranty only, not measured degradation.",Exact STC power-bin row and ANZ variant transcribed from official PDF page 2; current AU listing includes 530–550 W. Pmax bifaciality 40% ±5%; rear gain is not modeled.,530,38.2,13.88,45.4,14.76,23.9,-0.26,0.05,-0.22,2.215836,40,2026-09-15,SCREENING_ONLY,C_MANUFACTURER_DATASHEET,,,,,
MOD_ABC_AIKO_A535_MCE60DB,AIKO,AIKO-A535-MCE60Db,ABC,N-type ABC,All back contact,Bifacial dual glass,BIFACIAL,COMMERCIAL,ROOFTOP,AU|NZ,https://aikosolar.com/wp-content/uploads/2026/03/Neostar-3SPlus60_193-AIKO-A-MCE60Db_530-550W-1954x1134x30mm_202602_V4.1_ANZ.pdf,202602 V4.1 ANZ,2.0 mm + 2.0 mm glass,30,"At most 1% year 1; at most 0.35% annually thereafter. Warranty only, not measured degradation.",Exact STC power-bin row and ANZ variant transcribed from official PDF page 2; current AU listing includes 530–550 W. Pmax bifaciality 40% ±5%; rear gain is not modeled.,535,38.3,13.97,45.5,14.8,24.1,-0.26,0.05,-0.22,2.215836,40,2026-09-15,SCREENING_ONLY,C_MANUFACTURER_DATASHEET,,,,,
MOD_ABC_AIKO_A540_MCE60DB,AIKO,AIKO-A540-MCE60Db,ABC,N-type ABC,All back contact,Bifacial dual glass,BIFACIAL,COMMERCIAL,ROOFTOP,AU|NZ,https://aikosolar.com/wp-content/uploads/2026/03/Neostar-3SPlus60_193-AIKO-A-MCE60Db_530-550W-1954x1134x30mm_202602_V4.1_ANZ.pdf,202602 V4.1 ANZ,2.0 mm + 2.0 mm glass,30,"At most 1% year 1; at most 0.35% annually thereafter. Warranty only, not measured degradation.",Exact STC power-bin row and ANZ variant transcribed from official PDF page 2; current AU listing includes 530–550 W. Pmax bifaciality 40% ±5%; rear gain is not modeled.,540,38.4,14.07,45.6,14.84,24.4,-0.26,0.05,-0.22,2.215836,40,2026-09-15,SCREENING_ONLY,C_MANUFACTURER_DATASHEET,,,,,
MOD_ABC_AIKO_A545_MCE60DB,AIKO,AIKO-A545-MCE60Db,ABC,N-type ABC,All back contact,Bifacial dual glass,BIFACIAL,COMMERCIAL,ROOFTOP,AU|NZ,https://aikosolar.com/wp-content/uploads/2026/03/Neostar-3SPlus60_193-AIKO-A-MCE60Db_530-550W-1954x1134x30mm_202602_V4.1_ANZ.pdf,202602 V4.1 ANZ,2.0 mm + 2.0 mm glass,30,"At most 1% year 1; at most 0.35% annually thereafter. Warranty only, not measured degradation.",Exact STC power-bin row and ANZ variant transcribed from official PDF page 2; current AU listing includes 530–550 W. Pmax bifaciality 40% ±5%; rear gain is not modeled.,545,38.5,14.16,45.7,14.88,24.6,-0.26,0.05,-0.22,2.215836,40,2026-09-15,SCREENING_ONLY,C_MANUFACTURER_DATASHEET,,,,,
MOD_ABC_AIKO_A550_MCE60DB,AIKO,AIKO-A550-MCE60Db,ABC,N-type ABC,All back contact,Bifacial dual glass,BIFACIAL,COMMERCIAL,ROOFTOP,AU|NZ,https://aikosolar.com/wp-content/uploads/2026/03/Neostar-3SPlus60_193-AIKO-A-MCE60Db_530-550W-1954x1134x30mm_202602_V4.1_ANZ.pdf,202602 V4.1 ANZ,2.0 mm + 2.0 mm glass,30,"At most 1% year 1; at most 0.35% annually thereafter. Warranty only, not measured degradation.",Exact STC power-bin row and ANZ variant transcribed from official PDF page 2; current AU listing includes 530–550 W. Pmax bifaciality 40% ±5%; rear gain is not modeled.,550,38.6,14.25,45.8,14.92,24.8,-0.26,0.05,-0.22,2.215836,40,2026-09-15,SCREENING_ONLY,C_MANUFACTURER_DATASHEET,,,,,
MOD_IBC_MAXEON_SPR_MAX6_440,Maxeon,SPR-MAX6-440,IBC,Maxeon Gen 6 IBC,Interdigitated back contact,White backsheet / black frame,MONOFACIAL,COMMERCIAL,ROOFTOP,US,https://maxeon-production.squarespace.com/s/Maxeon-6-DC-425-440-W.pdf,552142 REV A / LTR_US March 2024,3.2 mm front glass / white backsheet,40,"98% year 1, maximum 0.25% annual warranty degradation; 40 years requires eligible installer and registration, otherwise 25 years.",Official current Maxeon page links this exact US 425–440 W datasheet. Electrical values from page 2; warranty eligibility conditions preserved.,440,40.5,10.87,48.2,11.58,22.8,-0.29,0.057,-0.239,1.931904,,2026-09-15,SCREENING_ONLY,C_MANUFACTURER_DATASHEET,,,,,
MOD_IBC_MAXEON_SPR_MAX6_435,Maxeon,SPR-MAX6-435,IBC,Maxeon Gen 6 IBC,Interdigitated back contact,White backsheet / black frame,MONOFACIAL,COMMERCIAL,ROOFTOP,US,https://maxeon-production.squarespace.com/s/Maxeon-6-DC-425-440-W.pdf,552142 REV A / LTR_US March 2024,3.2 mm front glass / white backsheet,40,"98% year 1, maximum 0.25% annual warranty degradation; 40 years requires eligible installer and registration, otherwise 25 years.",Official current Maxeon page links this exact US 425–440 W datasheet. Electrical values from page 2; warranty eligibility conditions preserved.,435,40.3,10.82,48.2,11.57,22.5,-0.29,0.057,-0.239,1.931904,,2026-09-15,SCREENING_ONLY,C_MANUFACTURER_DATASHEET,,,,,
MOD_IBC_MAXEON_SPR_MAX6_425,Maxeon,SPR-MAX6-425,IBC,Maxeon Gen 6 IBC,Interdigitated back contact,White backsheet / black frame,MONOFACIAL,COMMERCIAL,ROOFTOP,US,https://maxeon-production.squarespace.com/s/Maxeon-6-DC-425-440-W.pdf,552142 REV A / LTR_US March 2024,3.2 mm front glass / white backsheet,40,"98% year 1, maximum 0.25% annual warranty degradation; 40 years requires eligible installer and registration, otherwise 25 years.",Official current Maxeon page links this exact US 425–440 W datasheet. Electrical values from page 2; warranty eligibility conditions preserved.,425,39.8,10.68,48.1,11.55,22.0,-0.29,0.057,-0.239,1.931904,,2026-09-15,SCREENING_ONLY,C_MANUFACTURER_DATASHEET,,,,,
MOD_CIGS_AVANCIS_SKALA_145_B001_AU411,AVANCIS,SKALA 145 B001,CIGS,CIGS thin film,CIGS thin film,Frameless facade with rear backrails,MONOFACIAL,UNKNOWN,BIPV_FACADE,AU,https://www.avancis.de/_Resources/Persistent/0/2/e/7/02e75f65598a8dd82cb3b909bb74a70ff14e97f8/FE_PD_SKALA_DATASHEET_AU_V4.11.pdf,Variant 4.11 Australia / February 2024,Glass-glass; 3 mm front glass,25,10-year product warranty. Minimum 90% at year 10 and 80% at year 25; not measured degradation.,Official PDF page 2 maps black B001 to 145/150 W. Facade application only. SKALA family is marketed; current availability of this exact AU 4.11 variant remains UNKNOWN pending manufacturer confirmation.,145,69.4,2.09,89.4,2.35,13.8,-0.35,0,-0.26,1.053768,,2026-09-15,SCREENING_ONLY,C_MANUFACTURER_DATASHEET,,,,,
MOD_CIGS_AVANCIS_SKALA_150_B001_AU411,AVANCIS,SKALA 150 B001,CIGS,CIGS thin film,CIGS thin film,Frameless facade with rear backrails,MONOFACIAL,UNKNOWN,BIPV_FACADE,AU,https://www.avancis.de/_Resources/Persistent/0/2/e/7/02e75f65598a8dd82cb3b909bb74a70ff14e97f8/FE_PD_SKALA_DATASHEET_AU_V4.11.pdf,Variant 4.11 Australia / February 2024,Glass-glass; 3 mm front glass,25,10-year product warranty. Minimum 90% at year 10 and 80% at year 25; not measured degradation.,Official PDF page 2 maps black B001 to 145/150 W. Facade application only. SKALA family is marketed; current availability of this exact AU 4.11 variant remains UNKNOWN pending manufacturer confirmation.,150,69.4,2.16,89.5,2.41,14.2,-0.35,0,-0.26,1.053768,,2026-09-15,SCREENING_ONLY,C_MANUFACTURER_DATASHEET,,,,,
