technology_id,technology_name,family,subfamily,TRL_level,commercial_status,device_architecture,absorber_material,fabrication_method,scalability_score,toxicity_level,notes,source_url,confidence_score
TECH_01,Mono PERC,Silicon,PERC,9,commercial,p-type PERC,c-Si,screen_printed_p_type,9,low,Mature low-cost p-type silicon baseline.,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,0.75
TECH_02,TOPCon,Silicon,TOPCon,9,commercial,n-type passivated contact,n-Si + tunnel oxide/poly-Si,tunnel_oxide_poly_si,9,low,Mainstream high-efficiency n-type technology.,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,0.75
TECH_03,HJT,Silicon,HJT,9,commercial,silicon heterojunction,c-Si + a-Si:H,low_temp_a_si_passivation,8,low,Premium silicon technology with strong temperature coefficient.,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,0.75
TECH_04,IBC Silicon,Silicon,IBC,9,commercial,interdigitated back contact,c-Si,back_contact_lithography,7,low,High efficiency but complex/costly.,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,0.75
TECH_05,Polycrystalline Silicon,Silicon,mc-Si,9,commercial,polycrystalline p-n,mc-Si,cast_wafer_screen_printed,8,low,Older low-cost silicon.,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,0.75
TECH_06,CdTe Thin Film,Thin film,CdTe,9,commercial,CdS/CdTe heterojunction,CdTe,close_space_sublimation,8,medium,Strong hot-climate thin film.,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,0.75
TECH_07,CIGS Thin Film,Thin film,CIGS,9,commercial,CIGS heterojunction,"Cu(In,Ga)Se2",co_evaporation_sputtering,7,medium,Flexible/thin-film option.,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,0.75
TECH_08,Amorphous Silicon,Thin film,a-Si:H,8,commercial_niche,p-i-n thin film,a-Si:H,pecvd,6,low,Low-light/flexible niche.,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,0.75
TECH_09,Microcrystalline Silicon,Thin film,µc-Si:H,8,commercial_niche,p-i-n thin film,µc-Si:H,pecvd,6,low,Thin-film silicon variant.,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,0.75
TECH_10,Perovskite Single Junction,Perovskite,3D mixed cation,6,pilot_research,planar perovskite,"FA/Cs Pb(I,Br)3",solution_or_vapor,7,high,High potential; stability risk.,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,0.75
TECH_11,Perovskite-Silicon Tandem,Tandem,perovskite/c-Si,7,pilot,monolithic tandem,Perovskite + c-Si,monolithic_tandem,6,high,Very high efficiency potential.,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,0.75
TECH_12,All-Perovskite Tandem,Tandem,perovskite/perovskite,5,research,monolithic tandem,wide+narrow perovskites,solution_tandem,5,high,Research tandem high potential.,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,0.75
TECH_13,OPV Bulk Heterojunction,Organic,BHJ,5,research_niche,bulk heterojunction,polymer:NFA,roll_to_roll_solution,5,low,Lightweight/flexible but low stability/mobility.,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,0.75
TECH_14,Small Molecule OPV,Organic,small molecule,5,research_niche,evaporated OPV,donor:acceptor organic,thermal_evaporation,4,low,Specialty organic PV.,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,0.75
TECH_15,DSSC,Emerging,Dye-sensitized,5,niche_research,photoelectrochemical,TiO2+dye+electrolyte,screen_printed_mesoporous,4,medium,Indoor/low-light niche.,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,0.75
TECH_16,PbS Quantum Dot,Quantum dot,PbS QD,4,research,quantum dot heterojunction,PbS,colloidal_qd_solution,4,high,Tunable bandgap; stability/toxicity risk.,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,0.75
TECH_17,Perovskite Quantum Dot,Quantum dot,CsPbI3 QD,4,research,quantum dot heterojunction,CsPbI3 QDs,colloidal_qd_solution,4,high,Emerging QD technology.,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,0.75
TECH_18,GaAs Single Junction,III-V,GaAs,8,specialty_space,single junction III-V,GaAs,mocvd_mbe,3,medium,Excellent efficiency and radiation tolerance.,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,0.75
TECH_19,InP Single Junction,III-V,InP,7,specialty_space,single junction III-V,InP,mocvd,2,medium,Radiation-tolerant specialty PV.,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,0.75
TECH_20,III-V Multijunction,III-V,triple junction,8,specialty_space,multi-junction concentrator,GaInP/GaAs/Ge,mocvd_multijunction,2,medium,Highest efficiency class; specialty/space.,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,0.75
TECH_21,CZTSSe Kesterite,Thin film,Kesterite,5,research,kesterite heterojunction,"Cu2ZnSn(S,Se)4",solution_or_sputter_selenization,6,low,Earth-abundant thin-film candidate.,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,0.75
TECH_22,Sb2Se3 Thin Film,Thin film,Antimony chalcogenide,4,research,thin-film heterojunction,Sb2Se3,thermal_evaporation_or_solution,5,medium,Emerging chalcogenide PV.,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,0.75
TECH_23,Cu2O Solar Cell,Oxide,Cu2O,3,research,oxide heterojunction,Cu2O,oxide_growth,5,low,Earth-abundant oxide; low demonstrated efficiency.,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,0.75
TECH_24,BiOI Thin Film,Emerging,bismuth oxyhalide,3,research,thin-film heterojunction,BiOI,solution_process,3,medium,Very early-stage lead-free material.,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,0.75
TECH_25,Hybrid Perovskite 2D/3D,Perovskite,2D/3D,5,research,2D/3D passivated perovskite,Ruddlesden-Popper/3D perovskite,solution_process,5,high,Improved stability vs 3D perovskite but lower transport.,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,0.75
TECH_26,CdSeTe Thin Film,Thin film,CdSeTe,9,commercial,CdSeTe/CdTe graded absorber,CdSeTe,vapor_transport_deposition,8,medium,CdTe variant with Se alloying.,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,0.75
TECH_27,Tandem III-V on Silicon,Tandem,III-V/Si,6,pilot_research,wafer bonded tandem,GaInP/GaAs/Si,wafer_bonding_epitaxy,2,medium,High-efficiency but manufacturing complex.,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,0.75
TECH_28,Bifacial TOPCon Module,Silicon,Bifacial TOPCon,9,commercial,bifacial passivated contact module,n-Si + tunnel oxide/poly-Si,bifacial_glass_glass,9,low,Site-sensitive bifacial version of TOPCon.,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,0.75
TECH_29,Bifacial HJT Module,Silicon,Bifacial HJT,9,commercial,bifacial silicon heterojunction,c-Si + a-Si:H,bifacial_hjt_glass_glass,8,low,High bifaciality premium module.,https://www.nrel.gov/pv/cell-efficiency.html; https://www.pveducation.org/; https://www.ise.fraunhofer.de/en/publications/studies/photovoltaics-report.html,0.75
